fitness_score,loc,lloc,sloc,comment,multi,blank,avg_cyclomatic_complexity,maintainability_index,halstead_h1,halstead_h2,halstead_N1,halstead_N2,halstead_vocabulary,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,halstead_time,halstead_bugs
100.0,45,28,25,5,6,11,6.0,84.15911750805887,2,9,5,10,11,15,51.89147427955947,1.1111111111111112,57.65719364395497,3.203177424664165,0.01729715809318649
100.0,50,34,33,5,3,11,6.0,79.37361750282386,4,7,4,8,11,12,41.51317942364757,2.2857142857142856,94.88726725405158,5.27151484744731,0.01383772647454919
100.0,32,16,13,3,6,10,3.0,97.48547569712268,1,2,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
100.0,47,29,28,4,4,11,5.0,82.1462209392827,4,8,4,8,12,12,43.01955000865388,2.0,86.03910001730776,4.779950000961542,0.014339850002884626
100.0,55,35,33,13,0,12,6.0,80.08077661504754,4,12,7,14,16,21,84.0,2.3333333333333335,196.0,10.88888888888889,0.028
100.0,39,23,21,11,0,9,0.0,84.91128175076999,5,11,7,14,16,21,84.0,3.1818181818181817,267.27272727272725,14.848484848484848,0.028
100.0,42,25,23,12,0,9,0.0,85.87487947037611,3,9,5,10,12,15,53.77443751081735,1.6666666666666667,89.62406251802892,4.9791145843349405,0.017924812503605784
100.0,54,37,35,8,0,10,9.0,73.28035410528115,6,17,12,24,23,36,162.84823041805248,4.235294117647059,689.7101523588105,38.31723068660059,0.05428274347268416
9.090909090909093,61,38,37,10,0,14,4.0,78.26757706177868,4,9,5,10,13,15,55.506595772116384,2.2222222222222223,123.34799060470309,6.852666144705727,0.01850219859070546
2.5711178840385496,58,39,36,6,4,14,8.0,75.25534155163906,3,14,11,22,17,33,134.8862737612612,2.357142857142857,317.94621672297285,17.663678706831824,0.044962091253753736
13.266290393735881,34,20,19,5,4,6,6.0,87.60294592388266,3,8,5,10,11,15,51.89147427955947,1.875,97.296514274174,5.405361904120777,0.01729715809318649
2.912621359223301,44,31,28,3,4,10,7.0,79.7978568084017,3,7,5,10,10,15,49.82892142331044,2.142857142857143,106.77626019280808,5.932014455156004,0.016609640474436815
100.0,50,33,32,8,0,11,6.0,78.28490028873127,3,9,6,12,12,18,64.52932501298082,2.0,129.05865002596164,7.169925001442313,0.02150977500432694
3.6144578313253013,62,36,34,13,4,13,8.0,79.63075593672339,6,13,9,18,19,27,114.6940428629768,4.153846153846154,476.42140881544213,26.46785604530234,0.03823134762099227
100.0,63,35,34,8,7,15,10.0,78.97619922764554,4,14,10,20,18,30,125.09775004326937,2.857142857142857,357.42214298076965,19.85678572115387,0.04169925001442312
49.492314690099555,48,33,30,9,0,10,3.0,80.40804980425193,4,10,5,10,14,15,57.110323830864054,2.0,114.22064766172811,6.345591536762672,0.019036774610288017
3.2258064516129026,81,57,61,10,0,14,6.0,65.69552919705264,6,22,14,28,28,42,201.90890672641936,3.8181818181818183,770.924916591783,42.82916203287684,0.06730296890880645
100.0,51,33,30,5,4,12,5.0,81.908391820219,4,5,4,7,9,11,34.86917501586544,2.8,97.63369004442322,5.424093891356845,0.011623058338621813
16.06035108777649,42,28,26,7,0,10,7.0,78.71222945795711,5,13,9,18,18,27,112.58797503894243,3.4615384615384617,389.7276059040315,21.651533661335083,0.03752932501298081
100.0,63,36,37,11,4,14,10.0,77.46410947285005,6,15,13,25,21,38,166.9080620655929,5.0,834.5403103279646,46.36335057377581,0.05563602068853097
100.0,53,32,37,4,3,10,15.0,70.90490124335925,8,30,18,36,38,54,283.3880857259536,4.8,1360.2628114845772,75.57015619358762,0.09446269524198453
6.207328881682987,41,24,30,6,0,9,4.0,81.2958546901921,4,8,4,8,12,12,43.01955000865388,2.0,86.03910001730776,4.779950000961542,0.014339850002884626
1.9607843137254901,58,34,33,7,7,11,11.0,77.35817123256267,7,21,15,29,28,44,211.52361657053456,4.833333333333333,1022.3641467575836,56.79800815319909,0.07050787219017819
100.0,44,28,25,8,0,11,3.0,82.62674800267254,5,8,5,10,13,15,55.506595772116384,3.125,173.4581117878637,9.636561765992427,0.01850219859070546
100.0,48,30,29,7,4,11,10.0,77.62241538492702,7,25,16,34,32,50,250.0,4.76,1190.0,66.11111111111111,0.08333333333333333
100.0,45,28,25,5,6,11,6.0,84.15911750805887,2,9,5,10,11,15,51.89147427955947,1.1111111111111112,57.65719364395497,3.203177424664165,0.01729715809318649
100.0,50,34,33,5,3,11,6.0,79.37361750282386,4,7,4,8,11,12,41.51317942364757,2.2857142857142856,94.88726725405158,5.27151484744731,0.01383772647454919
100.0,32,16,13,3,6,10,3.0,97.48547569712268,1,2,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
100.0,47,29,28,4,4,11,5.0,82.1462209392827,4,8,4,8,12,12,43.01955000865388,2.0,86.03910001730776,4.779950000961542,0.014339850002884626
100.0,55,35,33,13,0,12,6.0,80.08077661504754,4,12,7,14,16,21,84.0,2.3333333333333335,196.0,10.88888888888889,0.028
100.0,39,23,21,11,0,9,0.0,84.91128175076999,5,11,7,14,16,21,84.0,3.1818181818181817,267.27272727272725,14.848484848484848,0.028
100.0,42,25,23,12,0,9,0.0,85.87487947037611,3,9,5,10,12,15,53.77443751081735,1.6666666666666667,89.62406251802892,4.9791145843349405,0.017924812503605784
100.0,54,37,35,8,0,10,9.0,73.28035410528115,6,17,12,24,23,36,162.84823041805248,4.235294117647059,689.7101523588105,38.31723068660059,0.05428274347268416
100.0,50,33,32,8,0,11,6.0,78.28490028873127,3,9,6,12,12,18,64.52932501298082,2.0,129.05865002596164,7.169925001442313,0.02150977500432694
100.0,63,35,34,8,7,15,10.0,78.97619922764554,4,14,10,20,18,30,125.09775004326937,2.857142857142857,357.42214298076965,19.85678572115387,0.04169925001442312
100.0,51,33,30,5,4,12,5.0,81.908391820219,4,5,4,7,9,11,34.86917501586544,2.8,97.63369004442322,5.424093891356845,0.011623058338621813
100.0,63,36,37,11,4,14,10.0,77.46410947285005,6,15,13,25,21,38,166.9080620655929,5.0,834.5403103279646,46.36335057377581,0.05563602068853097
100.0,53,32,37,4,3,10,15.0,70.90490124335925,8,30,18,36,38,54,283.3880857259536,4.8,1360.2628114845772,75.57015619358762,0.09446269524198453
100.0,44,28,25,8,0,11,3.0,82.62674800267254,5,8,5,10,13,15,55.506595772116384,3.125,173.4581117878637,9.636561765992427,0.01850219859070546
